Fixation Duration (mean), Fixation Duration (variance), Fixation Duration (standard deviation), Fixation Rate (per second), Fixation Slope, Number of VSEditor Fixations, Number of VSExplorer Fixations, Number of VSOutput Fixations, Number of Short Saccades, Number of Medium Saccades, Number of Long Saccades, Follow Direction Count, Neighbouring Direction Count, Opposite Direction Count, Sector4 Right Count, Sector4 Up Count, Sector4 Left Count, Sector4 Down Count
630.666666666667, 203010.173913043, 450.566503318926, 1.53333333333333, 0.0431746760648888, 0, 0, 0, 6, 15, 1, 8, 3, 10, 10, 1, 10, 1, WATCH
585.037037037037, 315841.618461538, 561.997881189545, 1.73333333333333, -0.0263373726157566, 0, 0, 0, 5, 19, 1, 8, 6, 10, 9, 1, 11, 4, WATCH
806.95, 451307.812865497, 671.79447219034, 1.1875, 0.0414898724671814, 0, 0, 0, 4, 14, 0, 3, 6, 8, 6, 1, 7, 4, WATCH
732.181818181818, 307932.747619048, 554.916883523152, 1.3125, -0.227416694110578, 0, 0, 0, 8, 12, 0, 1, 9, 9, 5, 5, 5, 5, WATCH
614.44, 321911.172101449, 567.3721636646, 1.6, -0.276694277715058, 0, 0, 0, 14, 9, 0, 3, 10, 9, 9, 3, 6, 5, WATCH
565.074074074074, 224600.081538462, 473.91991046849, 1.73333333333333, -0.0101102561959228, 0, 0, 0, 11, 12, 2, 6, 6, 12, 12, 0, 10, 3, WATCH
572.148148148148, 234075.415384615, 483.813409678375, 1.73333333333333, 0.0451105024907067, 0, 0, 0, 14, 11, 0, 4, 8, 12, 11, 1, 10, 3, WATCH
423.675675675676, 41649.7968253968, 204.082818545307, 2.4, -0.0395071281825409, 0, 0, 0, 14, 19, 2, 6, 11, 17, 13, 4, 13, 5, WATCH
495.41935483871, 159266.891954023, 399.082562828825, 2, -0.0742649138538156, 0, 0, 0, 11, 16, 2, 7, 10, 11, 8, 6, 9, 6, WATCH
653.041666666667, 689432.256916996, 830.320574788434, 1.53333333333333, -0.157729417990412, 0, 0, 0, 13, 7, 2, 5, 10, 6, 6, 7, 3, 6, WATCH
